,date,sd_covid_ww_smooth,sd_hospitalizations,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority,TARGET0,TARGET1,TARGET2
1,2021-03-05,875787.4444444445,193.71428571428572,,,,255.57142857142856,,,4.5,5.4,6.3,6.6,0,0,193.71428571428572,139.28571428571428,113.85714285714285
2,2021-03-12,1339739.6666666667,139.28571428571428,875787.4444444445,,,193.71428571428572,255.57142857142856,,6.2,5.1,6.3,6.7,0,0,139.28571428571428,113.85714285714285,102.0
3,2021-03-19,1047677.4444444444,113.85714285714285,1339739.6666666667,875787.4444444445,,139.28571428571428,193.71428571428572,255.57142857142856,8.3,4.6,6.2,6.7,0,0,113.85714285714285,102.0,84.0
4,2021-03-26,1005558.5555555555,102.0,1047677.4444444444,1339739.6666666667,875787.4444444445,113.85714285714285,139.28571428571428,193.71428571428572,10.4,4.1,6.0,6.7,0,0,102.0,84.0,76.35714285714286
5,2021-04-02,424960.0,84.0,1005558.5555555555,1047677.4444444444,1339739.6666666667,102.0,113.85714285714285,139.28571428571428,12.1,3.5,5.8,6.6,0,0,84.0,76.35714285714286,73.14285714285714
6,2021-04-09,368510.88888888893,76.35714285714286,424960.0,1005558.5555555555,1047677.4444444444,84.0,102.0,113.85714285714285,13.5,2.8,5.4,6.6,0,0,76.35714285714286,73.14285714285714,77.71428571428572
7,2021-04-16,304866.6111111111,73.14285714285714,368510.88888888893,424960.0,1005558.5555555555,76.35714285714286,84.0,102.0,14.8,2.2,4.9,6.5,0,0,73.14285714285714,77.71428571428572,62.14285714285714
8,2021-04-23,329578.1666666667,77.71428571428572,304866.6111111111,368510.88888888893,424960.0,73.14285714285714,76.35714285714286,84.0,16.5,1.7,4.3,6.3,0,0,77.71428571428572,62.14285714285714,54.42857142857143
9,2021-04-30,301965.9444444445,62.14285714285714,329578.1666666667,304866.6111111111,368510.88888888893,77.71428571428572,73.14285714285714,76.35714285714286,18.3,1.4,3.8,6.0,0,0,62.14285714285714,54.42857142857143,57.57142857142858
10,2021-05-07,589519.0,54.42857142857143,301965.9444444445,329578.1666666667,304866.6111111111,62.14285714285714,77.71428571428572,73.14285714285714,19.8,1.1,3.0,5.6,0,0,54.42857142857143,57.57142857142858,52.714285714285715
11,2021-05-14,651870.8888888889,57.57142857142858,589519.0,301965.9444444445,329578.1666666667,54.42857142857143,62.14285714285714,77.71428571428572,21.8,0.9,2.3,5.1,0,0,57.57142857142858,52.714285714285715,50.71428571428571
12,2021-05-21,682627.5555555555,52.714285714285715,651870.8888888889,589519.0,301965.9444444445,57.57142857142858,54.42857142857143,62.14285714285714,24.5,0.8,1.9,4.5,0,0,52.714285714285715,50.71428571428571,47.42857142857143
13,2021-05-28,482864.55555555556,50.71428571428571,682627.5555555555,651870.8888888889,589519.0,52.714285714285715,57.57142857142858,54.42857142857143,27.0,0.7,1.5,3.9,0,0,50.71428571428571,47.42857142857143,43.42857142857143
14,2021-06-04,393037.0,47.42857142857143,482864.55555555556,682627.5555555555,651870.8888888889,50.71428571428571,52.714285714285715,57.57142857142858,29.3,0.6,1.2,3.1,0,0,47.42857142857143,43.42857142857143,33.57142857142858
15,2021-06-11,355680.6666666667,43.42857142857143,393037.0,482864.55555555556,682627.5555555555,47.42857142857143,50.71428571428571,52.714285714285715,31.6,0.5,1.0,2.4,0,0,43.42857142857143,33.57142857142858,33.42857142857142
16,2021-06-18,380424.7777777778,33.57142857142858,355680.6666666667,393037.0,482864.55555555556,43.42857142857143,47.42857142857143,50.71428571428571,33.6,0.5,0.9,2.0,0,0,33.57142857142858,33.42857142857142,37.57142857142857
