,date,htx_covid_ww,htx_hospitalizations,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
30,2021-02-12,928432.517954946,1040.7142857142856,994816.7104525584,1070034.800777164,1148526.9855092785,1185.142857142857,1243.7142857142858,1338.142857142857,0.0,1.2,1.4,1.7,0,0
31,2021-02-19,867087.2877188609,928.5,928432.517954946,994816.7104525584,1070034.800777164,1040.7142857142856,1185.142857142857,1243.7142857142858,0.0,1.8,1.9,2.2,0,0
32,2021-02-26,810437.466420254,884.1428571428571,867087.2877188609,928432.517954946,994816.7104525584,928.5,1040.7142857142856,1185.142857142857,0.0,2.1,2.2,2.5,0,0
33,2021-03-05,763404.0236681239,796.8571428571428,810437.466420254,867087.2877188609,928432.517954946,884.1428571428571,928.5,1040.7142857142856,0.0,2.3,2.5,2.7,0,0
34,2021-03-12,729583.2179134028,769.8571428571427,763404.0236681239,810437.466420254,867087.2877188609,796.8571428571428,884.1428571428571,928.5,0.0,2.8,2.8,3.0,0,0
35,2021-03-19,707775.9475188939,724.2857142857143,729583.2179134028,763404.0236681239,810437.466420254,769.8571428571427,796.8571428571428,884.1428571428571,0.0,3.0,3.0,3.2,0,0
36,2021-03-26,692666.9057542229,636.5,707775.9475188939,729583.2179134028,763404.0236681239,724.2857142857143,769.8571428571427,796.8571428571428,0.0,3.2,3.2,3.4,0,0
37,2021-04-02,680377.5232088497,616.7142857142858,692666.9057542229,707775.9475188939,729583.2179134028,636.5,724.2857142857143,769.8571428571427,0.0,3.3,3.4,3.5,0,0
38,2021-04-09,671872.1827296846,552.7142857142857,680377.5232088497,692666.9057542229,707775.9475188939,616.7142857142858,636.5,724.2857142857143,0.0,3.4,3.5,3.6,0,0
39,2021-04-16,667926.4546120607,564.6428571428571,671872.1827296846,680377.5232088497,692666.9057542229,552.7142857142857,616.7142857142858,636.5,0.0,3.3,3.6,3.6,0,0
40,2021-04-23,665293.3745849784,531.9999999999999,667926.4546120607,671872.1827296846,680377.5232088497,564.6428571428571,552.7142857142857,616.7142857142858,56.6,3.1,3.6,3.6,0,0
41,2021-04-30,656735.8553678123,515.0714285714287,665293.3745849784,667926.4546120607,671872.1827296846,531.9999999999999,564.6428571428571,552.7142857142857,57.1,2.8,3.6,3.7,0,0
42,2021-05-07,637941.2241058153,514.5714285714286,656735.8553678123,665293.3745849784,667926.4546120607,515.0714285714287,531.9999999999999,564.6428571428571,57.4,2.6,3.6,3.7,0,0
43,2021-05-14,612968.2654236613,450.71428571428567,637941.2241058153,656735.8553678123,665293.3745849784,514.5714285714286,515.0714285714287,531.9999999999999,57.8,2.1,3.6,3.8,0,0
44,2021-05-21,586265.764374085,413.57142857142856,612968.2654236613,637941.2241058153,656735.8553678123,450.71428571428567,514.5714285714286,515.0714285714287,58.1,1.8,3.3,3.8,0,0
45,2021-05-28,557495.6661540166,381.57142857142856,586265.764374085,612968.2654236613,637941.2241058153,413.57142857142856,450.71428571428567,514.5714285714286,58.3,1.5,3.0,3.8,0,0
46,2021-06-04,524775.3007729688,332.5714285714285,557495.6661540166,586265.764374085,612968.2654236613,381.57142857142856,413.57142857142856,450.71428571428567,58.9,1.2,2.8,3.8,0,0
47,2021-06-11,492740.5347080008,327.57142857142856,524775.3007729688,557495.6661540166,586265.764374085,332.5714285714285,381.57142857142856,413.57142857142856,59.6,1.1,2.3,3.8,0,0
48,2021-06-18,474960.313296482,329.5714285714285,492740.5347080008,524775.3007729688,557495.6661540166,327.57142857142856,332.5714285714285,381.57142857142856,60.2,1.3,2.5,4.0,0,0
49,2021-06-25,481695.7825059365,283.4285714285714,474960.313296482,492740.5347080008,524775.3007729688,329.5714285714285,327.57142857142856,332.5714285714285,60.6,1.8,2.9,4.3,0,0
