,date,den_metro_ww_smooth,den_hospitalizations,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
0,2020-08-16,,87.5,,,,,,,0.2,4.8,5.7,6.1,0,0
1,2020-08-23,,78.57142857142857,,,,87.5,,,0.2,4.3,5.7,6.2,0,0
2,2020-08-30,13122.55,67.57142857142857,,,,78.57142857142857,87.5,,0.3,3.8,5.7,6.3,0,0
3,2020-09-06,11437.775,63.599999999999994,13122.55,,,67.57142857142857,78.57142857142857,87.5,0.3,3.2,5.6,6.3,0,0
4,2020-09-13,7836.275,84.52380952380952,11437.775,13122.55,,63.599999999999994,67.57142857142857,78.57142857142857,0.3,2.9,5.4,6.3,0,0
5,2020-09-20,8725.55,84.57142857142857,7836.275,11437.775,13122.55,84.52380952380952,63.599999999999994,67.57142857142857,0.3,2.5,4.9,6.3,0,0
6,2020-09-27,14548.325,89.42857142857143,8725.55,7836.275,11437.775,84.57142857142857,84.52380952380952,63.599999999999994,0.3,2.2,4.3,6.2,0,0
7,2020-10-04,23922.925000000003,110.28571428571429,14548.325,8725.55,7836.275,89.42857142857143,84.57142857142857,84.52380952380952,0.4,2.1,3.8,6.1,0,0
8,2020-10-11,33902.5,114.14285714285714,23922.925000000003,14548.325,8725.55,110.28571428571429,89.42857142857143,84.57142857142857,0.4,2.0,3.4,5.9,0,0
9,2020-10-18,43771.85,158.54761904761907,33902.5,23922.925000000003,14548.325,114.14285714285714,110.28571428571429,89.42857142857143,0.5,1.9,3.0,5.5,0,0
10,2020-10-25,62074.35,221.71428571428572,43771.85,33902.5,23922.925000000003,158.54761904761907,114.14285714285714,110.28571428571429,0.5,1.8,2.8,4.9,0,0
11,2020-11-01,68355.5,296.1428571428571,62074.35,43771.85,33902.5,221.71428571428572,158.54761904761907,114.14285714285714,0.6,1.8,2.8,4.4,0,0
12,2020-11-08,98571.07499999998,372.4285714285715,68355.5,62074.35,43771.85,296.1428571428571,221.71428571428572,158.54761904761907,0.6,1.9,2.8,4.1,0,0
13,2020-11-15,140206.69999999998,418.57142857142856,98571.07499999998,68355.5,62074.35,372.4285714285715,296.1428571428571,221.71428571428572,0.6,1.9,2.7,3.8,0,0
14,2020-11-22,189655.425,427.1428571428571,140206.69999999998,98571.07499999998,68355.5,418.57142857142856,372.4285714285715,296.1428571428571,0.6,1.9,2.6,3.6,0,0
15,2020-11-29,365900.69999999995,459.1428571428571,189655.425,140206.69999999998,98571.07499999998,427.1428571428571,418.57142857142856,372.4285714285715,0.7,1.9,2.5,3.4,0,0
16,2020-12-06,380063.3,411.7857142857143,365900.69999999995,189655.425,140206.69999999998,459.1428571428571,427.1428571428571,418.57142857142856,0.7,1.8,2.4,3.3,0,0
17,2020-12-13,217737.9,360.8571428571429,380063.3,365900.69999999995,189655.425,411.7857142857143,459.1428571428571,427.1428571428571,0.8,1.7,2.3,3.1,0,0
18,2020-12-20,179207.65,310.7142857142858,217737.9,380063.3,365900.69999999995,360.8571428571429,411.7857142857143,459.1428571428571,0.8,1.7,2.2,2.9,0,0
19,2020-12-27,152058.525,284.42857142857144,179207.65,217737.9,380063.3,310.7142857142858,360.8571428571429,411.7857142857143,2.2,1.6,2.1,2.7,0,0
